t,utilA
0,0.2
0.1,0.206282151815626
0.2,0.212558103905863
0.3,0.218821662663703
0.4,0.225066646712861
0.5,0.231286893008046
0.6,0.237476262917145
0.7,0.243628648279309
0.8,0.249737977432971
0.9,0.255798221207846
1,0.261803398874989
1.1,0.267747584049058
1.2,0.273624910536936
1.3,0.279429578126956
1.4,0.285155858313015
1.5,0.290798099947909
1.6,0.296350734820343
1.7,0.301808283150074
1.8,0.307165358995799
1.9,0.312416675570426
2,0.317557050458495
2.1,0.322581410730595
2.2,0.327484797949738
2.3,0.33226237306473
2.4,0.336909421185738
2.5,0.34142135623731
2.6,0.345793725484282
2.7,0.350022213926092
2.8,0.354102648555158
2.9,0.358031002475138
3,0.36180339887499
3.1,0.365416114854912
3.2,0.368865585100403
3.3,0.372148405400789
3.4,0.375261336008773
3.5,0.378201304837674
3.6,0.380965410493204
3.7,0.383550925136796
3.8,0.38595529717765
3.9,0.388176153790845
4,0.390211303259031
4.1,0.392058737135389
4.2,0.393716632225726
4.3,0.395183352387749
4.4,0.396457450145738
4.5,0.397537668119028
4.6,0.398422940262896
4.7,0.399112392920616
4.8,0.399605345685654
4.9,0.399901312073146
5,0.4
5.1,0.399901312073146
5.2,0.399605345685654
5.3,0.399112392920616
5.4,0.398422940262896
5.5,0.397537668119028
5.6,0.396457450145738
5.7,0.395183352387749
5.8,0.393716632225726
5.9,0.392058737135389
6,0.390211303259031
6.1,0.388176153790845
6.2,0.38595529717765
6.3,0.383550925136796
6.4,0.380965410493204
6.5,0.378201304837674
6.6,0.375261336008773
6.7,0.372148405400789
6.8,0.368865585100403
6.9,0.365416114854912
7,0.36180339887499
7.1,0.358031002475138
7.2,0.354102648555158
7.3,0.350022213926092
7.4,0.345793725484282
7.5,0.34142135623731
7.6,0.336909421185738
7.7,0.33226237306473
7.8,0.327484797949738
7.9,0.322581410730595
8,0.317557050458495
8.1,0.312416675570426
8.2,0.307165358995799
8.3,0.301808283150074
8.4,0.296350734820343
8.5,0.290798099947909
8.6,0.285155858313015
8.7,0.279429578126956
8.8,0.273624910536936
8.9,0.267747584049058
9,0.261803398874989
9.1,0.255798221207846
9.2,0.249737977432971
9.3,0.243628648279308
9.4,0.237476262917145
9.5,0.231286893008046
9.6,0.225066646712861
9.7,0.218821662663703
9.8,0.212558103905863
9.9,0.206282151815626
10,0.2
10.1,0.193717848184374
10.2,0.187441896094137
10.3,0.181178337336297
10.4,0.174933353287139
10.5,0.168713106991954
10.6,0.162523737082855
10.7,0.156371351720691
10.8,0.150262022567029
10.9,0.144201778792154
11,0.138196601125011
11.1,0.132252415950942
11.2,0.126375089463064
11.3,0.120570421873044
11.4,0.114844141686985
11.5,0.109201900052091
11.6,0.103649265179657
11.7,0.354010613289319
11.8,0.0928346410042006
11.9,0.0875833244295739
12,0.0824429495415054
12.1,0.0774185892694047
12.2,0.072515202050262
12.3,0.0677376269352696
12.4,0.0630905788142622
12.5,0.0585786437626905
12.6,0.0542062745157177
12.7,0.049977786073908
12.8,0.0458973514448421
12.9,0.0419689975248619
13,0.0381966011250105
13.1,0.0345838851450876
13.2,0.031134414899597
13.3,0.0278515945992112
13.4,0.0247386639912273
13.5,0.0217986951623264
13.6,0.019034589506796
13.7,0.0164490748632037
13.8,0.0140447028223497
13.9,0.0118238462091549
14,0.0097886967409693
14.1,0.00794126286461136
14.2,0.00628336777427377
14.3,0.00481664761225051
14.4,0.00354254985426225
14.5,0.00246233188097247
14.6,0.00157705973710442
14.7,0.000887607079384012
14.8,0.000394654314345683
14.9,9.86879268536911e-05
15,0
15.1,9.86879268536911e-05
15.2,0.000394654314345683
15.3,0.000887607079384012
15.4,0.00157705973710442
15.5,0.00246233188097245
15.6,0.00354254985426228
15.7,0.00481664761225054
15.8,0.0062833677742738
15.9,0.00794126286461139
16,0.00978869674096927
16.1,0.0118238462091549
16.2,0.0140447028223497
16.3,0.0164490748632038
16.4,0.0190345895067962
16.5,0.0217986951623264
16.6,0.0247386639912273
16.7,0.0278515945992112
16.8,0.031134414899597
16.9,0.0345838851450877
17,0.0381966011250105
17.1,0.041968997524862
17.2,0.0458973514448421
17.3,0.0499777860739081
