0,0.80546
0.1,0.7663
0.2,0.71236
0.3,0.75276
0.4,0.76897
0.5,0.8242
0.6,0.83261
0.7,0.76293
0.8,0.84392
0.9,0.8362
1,0.79686
1.1,0.75589
1.2,0.84837
1.3,0.79759
1.4,0.75372
1.5,0.81732
1.6,0.8312
1.7,0.73225
1.8,0.89896
1.9,0.6985
2,0.7245
2.1,0.86778
2.2,0.82315
2.3,0.78575
2.4,0.80809
2.5,0.84439
2.6,0.76473
2.7,0.85485
2.8,0.84362
2.9,0.8068
3,0.81893
3.1,0.77824
3.2,0.76715
3.3,0.79086
3.4,0.86203
3.5,0.79892
3.6,0.78863
3.7,0.76256
3.8,0.75515
3.9,0.81324
4,0.86445
4.1,0.87431
4.2,0.84105
4.3,0.79789
4.4,0.79527
4.5,0.83223
4.6,0.86112
4.7,0.86326
4.8,0.70891
4.9,0.81283
5,0.76711
5.1,0.79219
5.2,0.90281
5.3,0.77747
5.4,0.73245
5.5,0.82579
5.6,0.81101
5.7,0.79675
5.8,0.86179
5.9,0.84642
6,0.8372
6.1,0.80485
6.2,0.83649
6.3,0.80471
6.4,0.82887
6.5,0.84869
6.6,0.83713
6.7,0.78679
6.8,0.79387
6.9,0.769
7,0.87115
7.1,0.82027
7.2,0.78901
7.3,0.85603
7.4,0.79688
7.5,0.845
7.6,0.89881
7.7,0.87015
7.8,0.81553
7.9,0.81812
8,0.92094
8.1,0.81582
8.2,0.83969
8.3,0.84121
8.4,0.87142
8.5,0.83622
8.6,0.84403
8.7,0.8421
8.8,0.96071
8.9,0.87033
9,0.78297
9.1,0.76618
9.2,0.74658
9.3,0.91959
9.4,0.7869
9.5,0.87771
9.6,0.85505
9.7,0.75229
9.8,0.93002
9.9,0.85675
10,0.9204
10.1,0.84678
10.2,0.83887
10.3,0.77918
10.4,0.83228
10.5,0.8375
10.6,0.75484
10.7,0.83019
10.8,0.83955
10.9,0.79557
11,0.8524
11.1,0.77148
11.2,0.80367
11.3,0.83786
11.4,0.80257
11.5,0.85416
11.6,0.81516
11.7,0.78983
11.8,0.88035
11.9,0.864
12,0.8628
12.1,0.86871
12.2,0.88515
12.3,0.88445
